Feature,Rank,Rank_x,Rank_x,Rank_x,Rank_x,RRA_pvalue,RankedPosition
V5_iqr,0.38650306748466257,1.558268413663673e-08,3.5415191219628934e-08,3.5415191219628934e-08,1.558268413663673e-08,0.38650306748466257,63
V5_rms,0.39263803680981596,9.207949717103523e-08,6.941377479047272e-08,1.3174451133701966e-07,4.533144476112504e-08,0.39263803680981596,64
V5_energy,0.3987730061349693,6.374734419533208e-08,7.083038243925787e-08,7.508020538561333e-08,7.224699008804304e-08,0.3987730061349693,65
V6_std,0.4049079754601227,5.5247698302621144e-08,7.791342068318367e-08,9.916253541496104e-08,3.9665014165984414e-08,0.4049079754601227,66
V6_q25,0.4110429447852761,3.399858357084378e-08,1.9832507082992207e-08,4.249822946355472e-08,1.699929178542189e-08,0.4110429447852761,67
I_std,0.4171779141104294,1.5157701842001184e-07,2.124911473177736e-07,2.1957418556169938e-07,1.9407524788356658e-07,0.4171779141104294,68
I_min,0.4233128834355828,1.6432648725907824e-07,1.770759560981447e-07,1.8982542493721112e-07,1.7424274080057435e-07,0.4233128834355828,69
I_max,0.4294478527607362,2.0965793202020327e-07,2.2524061615684007e-07,1.062455736588868e-07,1.5866005666393765e-07,0.4294478527607362,70
I_range,0.43558282208588955,2.039915014250627e-07,2.1107453966898847e-07,1.770759560981447e-07,2.1674097026412908e-07,0.43558282208588955,71
I_skew,0.44171779141104295,1.8840881728842592e-07,1.0199575071253134e-07,1.2466147309309385e-07,8.074663598075397e-08,0.44171779141104295,72
II_max,0.44785276073619634,1.9974167847870722e-07,1.9265864023478144e-07,2.2949043910319548e-07,1.9832507082992207e-07,0.44785276073619634,73
II_q75,0.4539877300613497,1.52993626068797e-07,1.8132577904450016e-07,1.699929178542189e-08,2.0965793202020327e-07,0.4539877300613497,74
II_energy,0.4601226993865031,8.074663598075397e-08,1.7282613315178923e-07,2.2807383145441034e-07,1.3599433428337512e-07,0.4601226993865031,75
III_max,0.4662576687116564,2.06824716722633e-07,2.266572238056252e-07,2.124911473177736e-07,1.8982542493721112e-07,0.4662576687116564,76
III_q75,0.4723926380368098,1.4591058782487123e-07,3.258197592205862e-08,8.357985127832429e-08,7.64968130343985e-08,0.4723926380368098,77
III_rms,0.4785276073619632,1.2324486544430873e-07,1.6149327196150795e-07,1.9124203258599624e-07,9.916253541496104e-08,0.4785276073619632,78
III_energy,0.48466257668711654,1.034123583613165e-07,1.6290987961029312e-07,2.06824716722633e-07,1.2749468839066417e-07,0.48466257668711654,79
aVR_min,0.49079754601226994,1.7282613315178923e-07,1.9124203258599624e-07,1.7565934844935952e-07,1.3457772663458993e-07,0.49079754601226994,80
aVR_q25,0.49693251533742333,9.632932011739072e-08,6.374734419533208e-08,8.499645892710945e-09,1.8557560199085562e-07,0.49693251533742333,81
aVL_skew,0.5030674846625767,1.9832507082992207e-07,1.4591058782487123e-07,1.9690846318113687e-07,1.7282613315178923e-07,0.5030674846625767,82
aVF_range,0.50920245398773,1.869922096396408e-07,1.954918555323517e-07,1.6999291785421888e-07,1.8415899434207045e-07,0.50920245398773,83
aVF_q75,0.5153374233128835,1.827423866932853e-07,1.6999291785421888e-07,9.632932011739072e-08,1.770759560981447e-07,0.5153374233128835,84
V1_min,0.5214723926380368,1.8557560199085562e-07,1.869922096396408e-07,8.924628187346492e-08,1.869922096396408e-07,0.5214723926380368,85
V1_q25,0.5276073619631901,1.1474521955159774e-07,8.499645892710945e-09,5.66643059514063e-09,1.8415899434207047e-08,0.5276073619631901,86
V1_kurtosis,0.5337423312883436,1.8982542493721112e-07,2.5498937678132836e-08,2.124911473177736e-08,1.133286119028126e-08,0.5337423312883436,87
V2_min,0.5398773006134969,1.5582684136636733e-07,1.5016041077122667e-07,2.0965793202020327e-07,1.4166076487851574e-07,0.5398773006134969,88
V2_max,0.5460122699386503,1.3457772663458993e-07,1.6007666431272277e-07,1.2182825779552353e-07,2.124911473177736e-07,0.5460122699386503,89
V2_q75,0.5521472392638037,1.6007666431272277e-07,2.2099079321048458e-07,1.6715970255664859e-07,1.5582684136636733e-07,0.5521472392638037,90
V2_kurtosis,0.558282208588957,2.2524061615684007e-07,1.8557560199085562e-07,1.2891129603944934e-07,1.331611189858048e-07,0.558282208588957,91
V3_std,0.5644171779141104,4.533144476112504e-08,3.6831798868414094e-08,5.383109065383598e-08,2.5498937678132836e-08,0.5644171779141104,92
V3_max,0.5705521472392638,1.6574309490786344e-07,1.5582684136636733e-07,1.8557560199085562e-07,2.224074008592697e-07,0.5705521472392638,93
V3_skew,0.5766871165644172,2.224074008592697e-07,1.2324486544430873e-07,9.34961048198204e-08,7.933002833196883e-08,0.5766871165644172,94
V4_min,0.5828220858895705,4.67480524099102e-08,4.249822946355472e-08,6.799716714168756e-08,2.266572238056252e-08,0.5828220858895705,95
V4_range,0.588957055214724,1.3174451133701966e-07,1.8982542493721112e-07,1.3457772663458993e-07,1.0766218130767196e-07,0.588957055214724,96
V6_range,0.5950920245398773,1.0907878895645712e-07,1.4307737252730088e-07,1.5582684136636733e-07,1.161618272003829e-07,0.5950920245398773,97
V6_kurtosis,0.6012269938650306,2.124911473177736e-07,5.383109065383598e-08,5.66643059514063e-08,3.399858357084378e-08,0.6012269938650306,98
QTInterval,0.6073619631901841,7.508020538561333e-08,1.4166076487851574e-08,7.083038243925787e-09,4.249822946355473e-09,0.6073619631901841,99
I_median,0.6134969325153374,2.833215297570315e-08,9.491271246860556e-08,3.116536827327346e-08,1.6574309490786344e-07,0.6134969325153374,100
I_kurtosis,0.6196319018404908,2.1674097026412908e-07,1.2891129603944934e-07,8.499645892710944e-08,1.1049539660524229e-07,0.6196319018404908,101
II_min,0.6257668711656442,1.4874380312244152e-07,2.025748937762775e-07,1.4874380312244152e-07,1.5016041077122667e-07,0.6257668711656442,102
II_range,0.6319018404907976,1.79909171395715e-07,2.0824132437141818e-07,2.224074008592697e-07,2.2382400850805487e-07,0.6319018404907976,103
II_q25,0.6380368098159509,1.5441023371758216e-07,2.408233002934768e-08,4.533144476112504e-08,6.374734419533208e-08,0.6380368098159509,104
II_iqr,0.6441717791411042,9.774592776617585e-08,1.79909171395715e-07,3.6831798868414094e-08,1.6007666431272277e-07,0.6441717791411042,105
II_skew,0.6503067484662577,2.139077549665588e-07,1.3599433428337512e-07,1.4732719547365638e-07,1.0482896601010164e-07,0.6503067484662577,106
III_q25,0.656441717791411,7.224699008804304e-08,1.558268413663673e-08,2.9748760624488305e-08,4.816466005869536e-08,0.656441717791411,107
III_skew,0.6625766871165644,1.6857631020543376e-07,1.2041165014673838e-07,2.2099079321048458e-07,2.1815757791291423e-07,0.6625766871165644,108
aVR_range,0.6687116564417178,1.5866005666393765e-07,1.9974167847870722e-07,1.1474521955159774e-07,1.954918555323517e-07,0.6687116564417178,109
aVR_kurtosis,0.6748466257668712,2.266572238056252e-07,1.0907878895645712e-07,1.3741094193216027e-07,9.207949717103523e-08,0.6748466257668712,110
aVL_iqr,0.6809815950920245,7.366359773682819e-08,2.691554532691799e-08,8.074663598075397e-08,6.941377479047272e-08,0.6809815950920245,111
aVL_kurtosis,0.6871165644171779,2.1107453966898847e-07,8.924628187346492e-08,1.7282613315178923e-07,1.1191200425402744e-07,0.6871165644171779,112
V1_max,0.6932515337423313,1.161618272003829e-07,1.6715970255664859e-07,1.3599433428337512e-07,1.6999291785421888e-07,0.6932515337423313,113
V1_median,0.6993865030674846,9.916253541496103e-09,2.833215297570315e-08,3.258197592205862e-08,1.6857631020543376e-07,0.6993865030674846,114
V1_skew,0.7055214723926381,2.054081090738478e-07,8.074663598075397e-08,5.949752124897661e-08,5.383109065383598e-08,0.7055214723926381,115
V2_mean,0.7116564417177914,1.0199575071253134e-07,4.533144476112504e-08,5.241448300505082e-08,2.833215297570315e-08,0.7116564417177914,116
V2_q25,0.7177914110429447,3.5415191219628934e-08,7.083038243925787e-09,2.691554532691799e-08,5.66643059514063e-09,0.7177914110429447,117
V2_iqr,0.7239263803680982,3.9665014165984414e-08,9.207949717103523e-08,1.4449398017608608e-07,6.516395184411724e-08,0.7239263803680982,118
V3_min,0.7300613496932515,7.64968130343985e-08,6.799716714168756e-08,6.233073654654692e-08,3.258197592205862e-08,0.7300613496932515,119
V3_q75,0.7361963190184049,1.2041165014673838e-07,1.7849256374692984e-07,1.954918555323517e-07,1.3174451133701966e-07,0.7361963190184049,120
V3_iqr,0.7423312883435583,3.116536827327346e-08,7.933002833196883e-08,1.6574309490786344e-07,5.808091360019145e-08,0.7423312883435583,121
V3_rms,0.7484662576687117,5.241448300505082e-08,7.366359773682819e-08,6.374734419533208e-08,2.9748760624488305e-08,0.7484662576687117,122
V3_energy,0.754601226993865,4.108162181476956e-08,7.224699008804304e-08,6.091412889776176e-08,9.491271246860556e-08,0.754601226993865,123
V4_q75,0.7607361963190185,4.391483711233988e-08,1.3174451133701966e-07,1.4591058782487123e-07,9.774592776617585e-08,0.7607361963190185,124
V4_iqr,0.7668711656441718,2.124911473177736e-08,6.091412889776176e-08,6.65805594929024e-08,3.5415191219628934e-08,0.7668711656441718,125
V5_std,0.7730061349693251,8.782967422467976e-08,5.241448300505082e-08,6.941377479047272e-08,3.824840651719925e-08,0.7730061349693251,126
V5_max,0.7791411042944786,1.5724344901515245e-07,2.0965793202020327e-07,1.6149327196150795e-07,1.79909171395715e-07,0.7791411042944786,127
V6_max,0.7852760736196319,1.3741094193216027e-07,2.0115828612749234e-07,1.6007666431272277e-07,1.52993626068797e-07,0.7852760736196319,128
V6_q75,0.7914110429447853,1.699929178542189e-08,8.357985127832429e-08,7.224699008804304e-08,7.083038243925787e-08,0.7914110429447853,129
V6_iqr,0.7975460122699386,1.9832507082992207e-08,5.5247698302621144e-08,7.64968130343985e-08,3.116536827327346e-08,0.7975460122699386,130
V6_skew,0.803680981595092,2.025748937762775e-07,1.1474521955159774e-07,1.4307737252730088e-07,6.233073654654692e-08,0.803680981595092,131
I_q25,0.8098159509202454,1.2749468839066417e-07,4.816466005869536e-08,9.491271246860556e-08,8.357985127832429e-08,0.8098159509202454,132
I_q75,0.8159509202453987,8.216324362953912e-08,1.2466147309309385e-07,3.824840651719925e-08,2.06824716722633e-07,0.8159509202453987,133
I_iqr,0.8220858895705522,5.099787535626567e-08,1.331611189858048e-07,5.5247698302621144e-08,1.3741094193216027e-07,0.8220858895705522,134
II_kurtosis,0.8282208588957055,2.2382400850805487e-07,1.1049539660524229e-07,1.6432648725907824e-07,8.216324362953912e-08,0.8282208588957055,135
III_min,0.8343558282208589,1.7849256374692984e-07,2.2949043910319548e-07,2.139077549665588e-07,1.827423866932853e-07,0.8343558282208589,136
III_iqr,0.8404907975460123,9.066288952225008e-08,2.124911473177736e-08,4.816466005869536e-08,5.949752124897661e-08,0.8404907975460123,137
III_kurtosis,0.8466257668711656,2.0824132437141818e-07,6.65805594929024e-08,1.0907878895645712e-07,8.499645892710944e-08,0.8466257668711656,138
aVR_max,0.852760736196319,1.770759560981447e-07,2.1957418556169938e-07,1.6290987961029312e-07,1.9265864023478144e-07,0.852760736196319,139
aVL_range,0.8588957055214724,1.954918555323517e-07,1.9832507082992207e-07,2.2524061615684007e-07,1.8132577904450016e-07,0.8588957055214724,140
aVL_rms,0.8650306748466258,1.6999291785421888e-07,1.5441023371758216e-07,2.039915014250627e-07,1.2466147309309385e-07,0.8650306748466258,141
aVF_min,0.8711656441717791,1.3032790368823449e-07,1.8415899434207045e-07,1.6857631020543376e-07,1.4449398017608608e-07,0.8711656441717791,142
aVF_q25,0.8773006134969326,1.1757843484916806e-07,1.2749468839066418e-08,2.266572238056252e-08,4.958126770748052e-08,0.8773006134969326,143
aVF_iqr,0.8834355828220859,1.1899504249795322e-07,1.0766218130767196e-07,1.1191200425402744e-07,1.062455736588868e-07,0.8834355828220859,144
aVF_skew,0.8895705521472392,2.0115828612749234e-07,1.4449398017608608e-07,1.1757843484916806e-07,1.4591058782487123e-07,0.8895705521472392,145
aVF_kurtosis,0.8957055214723927,2.2949043910319548e-07,1.0482896601010164e-07,1.5157701842001184e-07,9.34961048198204e-08,0.8957055214723927,146
aVF_rms,0.901840490797546,1.4166076487851574e-07,1.7424274080057435e-07,2.0115828612749234e-07,1.2182825779552353e-07,0.901840490797546,147
V2_range,0.9079754601226994,1.7565934844935952e-07,2.153243626153439e-07,2.025748937762775e-07,1.4874380312244152e-07,0.9079754601226994,148
V2_skew,0.9141104294478528,2.2807383145441034e-07,2.2382400850805487e-07,1.9265864023478144e-07,2.1957418556169938e-07,0.9141104294478528,149
V3_mean,0.9202453987730062,8.357985127832429e-08,4.391483711233988e-08,3.9665014165984414e-08,2.124911473177736e-08,0.9202453987730062,150
V4_mean,0.9263803680981595,8.924628187346492e-08,9.916253541496104e-08,1.034123583613165e-07,1.034123583613165e-07,0.9263803680981595,151
V4_median,0.9325153374233128,2.833215297570315e-09,5.099787535626567e-08,9.774592776617585e-08,2.039915014250627e-07,0.9325153374233128,152
V4_q25,0.9386503067484663,2.5498937678132836e-08,5.66643059514063e-09,1.558268413663673e-08,1.2749468839066418e-08,0.9386503067484663,153
V4_skew,0.9447852760736196,1.8132577904450016e-07,9.34961048198204e-08,9.207949717103523e-08,2.408233002934768e-08,0.9447852760736196,154
V5_min,0.950920245398773,8.641306657589461e-08,8.499645892710944e-08,7.366359773682819e-08,7.366359773682819e-08,0.950920245398773,155
V5_skew,0.9570552147239264,1.9124203258599624e-07,9.632932011739072e-08,1.2749468839066417e-07,5.66643059514063e-08,0.9570552147239264,156
V5_kurtosis,0.9631901840490797,2.1957418556169938e-07,5.66643059514063e-08,5.808091360019145e-08,2.691554532691799e-08,0.9631901840490797,157
V6_mean,0.9693251533742331,4.249822946355472e-08,1.3457772663458993e-07,1.52993626068797e-07,1.9124203258599624e-07,0.9693251533742331,158
V6_min,0.9754601226993865,1.062455736588868e-07,1.3882754958094544e-07,1.402441572297306e-07,1.133286119028126e-07,0.9754601226993865,159
V6_rms,0.9815950920245399,5.808091360019145e-08,8.782967422467976e-08,7.083038243925787e-08,4.391483711233988e-08,0.9815950920245399,160
V6_energy,0.9877300613496932,3.824840651719925e-08,8.641306657589461e-08,7.933002833196883e-08,6.65805594929024e-08,0.9877300613496932,161
Gender,0.9938650306748467,2.3090704675198066e-07,2.3090704675198066e-07,2.3090704675198066e-07,2.2949043910319548e-07,0.9938650306748467,162
QTCorrected,1.0,1.2891129603944934e-07,5.808091360019145e-08,3.399858357084378e-08,1.4166076487851574e-08,1.0,163
